Step,Sequence,Combination Value
343,"[ 0 0 -10 10 -5 -1 ]",-6
344,"[ 0 0 -10 10 -5 0 ]",-5
345,"[ 0 0 -10 10 -5 1 ]",-4
346,"[ 0 0 -10 10 0 -1 ]",-1
347,"[ 0 0 -10 10 0 0 ]",0
348,"[ 0 0 -10 10 0 1 ]",1
349,"[ 0 0 -10 10 5 -1 ]",4
350,"[ 0 0 -10 10 5 0 ]",5
351,"[ 0 0 -10 10 5 1 ]",6
352,"[ 0 0 0 -10 -5 -1 ]",-16
353,"[ 0 0 0 -10 -5 0 ]",-15
354,"[ 0 0 0 -10 -5 1 ]",-14
355,"[ 0 0 0 -10 0 -1 ]",-11
356,"[ 0 0 0 -10 0 0 ]",-10
357,"[ 0 0 0 -10 0 1 ]",-9
358,"[ 0 0 0 -10 5 -1 ]",-6
359,"[ 0 0 0 -10 5 0 ]",-5
360,"[ 0 0 0 -10 5 1 ]",-4
361,"[ 0 0 0 0 -5 -1 ]",-6
362,"[ 0 0 0 0 -5 0 ]",-5
363,"[ 0 0 0 0 -5 1 ]",-4
364,"[ 0 0 0 0 0 -1 ]",-1
365,"[ 0 0 0 0 0 0 ]",0
366,"[ 0 0 0 0 0 1 ]",1
367,"[ 0 0 0 0 5 -1 ]",4
368,"[ 0 0 0 0 5 0 ]",5
369,"[ 0 0 0 0 5 1 ]",6
370,"[ 0 0 0 10 -5 -1 ]",4
371,"[ 0 0 0 10 -5 0 ]",5
372,"[ 0 0 0 10 -5 1 ]",6
373,"[ 0 0 0 10 0 -1 ]",9
374,"[ 0 0 0 10 0 0 ]",10
375,"[ 0 0 0 10 0 1 ]",11
376,"[ 0 0 0 10 5 -1 ]",14
377,"[ 0 0 0 10 5 0 ]",15
378,"[ 0 0 0 10 5 1 ]",16
379,"[ 0 0 10 -10 -5 -1 ]",-6
380,"[ 0 0 10 -10 -5 0 ]",-5
381,"[ 0 0 10 -10 -5 1 ]",-4
382,"[ 0 0 10 -10 0 -1 ]",-1
383,"[ 0 0 10 -10 0 0 ]",0
384,"[ 0 0 10 -10 0 1 ]",1
385,"[ 0 0 10 -10 5 -1 ]",4
386,"[ 0 0 10 -10 5 0 ]",5
387,"[ 0 0 10 -10 5 1 ]",6
388,"[ 0 0 10 0 -5 -1 ]",4
389,"[ 0 0 10 0 -5 0 ]",5
390,"[ 0 0 10 0 -5 1 ]",6
391,"[ 0 0 10 0 0 -1 ]",9
392,"[ 0 0 10 0 0 0 ]",10
393,"[ 0 0 10 0 0 1 ]",11
394,"[ 0 0 10 0 5 -1 ]",14
395,"[ 0 0 10 0 5 0 ]",15
396,"[ 0 0 10 0 5 1 ]",16
397,"[ 0 0 10 10 -5 -1 ]",14
398,"[ 0 0 10 10 -5 0 ]",15
399,"[ 0 0 10 10 -5 1 ]",16
400,"[ 0 0 10 10 0 -1 ]",19
401,"[ 0 0 10 10 0 0 ]",20
402,"[ 0 0 10 10 0 1 ]",21
403,"[ 0 0 10 10 5 -1 ]",24
404,"[ 0 0 10 10 5 0 ]",25
405,"[ 0 0 10 10 5 1 ]",26
406,"[ 0 5 -10 -10 -5 -1 ]",-21
407,"[ 0 5 -10 -10 -5 0 ]",-20
408,"[ 0 5 -10 -10 -5 1 ]",-19
